Category,parameter_name,parameter_group
Behaviour,average duration,average duration
Behaviour,center average speed,center average speed
Behaviour,center distance travelled,center distance travelled
Behaviour,center permanence time,center time
Behaviour,center resting time,center time
Behaviour,conditioning baseline freeze count,conditioning freeze count
Behaviour,conditioning post-shock freeze count,conditioning freeze count
Behaviour,conditioning baseline freezing time,conditioning freezing time
Behaviour,conditioning post-shock freezing time,conditioning freezing time
Behaviour,conditioning tone freeze count,conditioning tone freeze count
Behaviour,conditioning tone freezing time,conditioning tone freezing time
Eye,cone b-wave amplitude-left,cone b-wave amplitude
Eye,cone b-wave amplitude-right,cone b-wave amplitude
Eye,cone b-wave implicit time-left,cone b-wave implicit time
Eye,cone b-wave implicit time-right,cone b-wave implicit time
Behaviour,context freeze count,context freeze count
Behaviour,context freezing time,context freezing time
Behaviour,cue baseline freeze count,cue baseline freeze count
Behaviour,cue baseline freezing time,cue baseline freezing time
Behaviour,dark side time spent,time spent
Behaviour,distance travelled - total,distance travelled - total
Behaviour,hot plate latency,hot plate latency
Behaviour,latency to center entry,latency to center entry
Behaviour,latency to fall mean,latency to fall mean
Behaviour,latency to first transition into dark,latency to first transition into dark
Behaviour,latency to immobility,latency to immobility
Behaviour,learning difference,learning difference
Behaviour,learning slope,learning slope
Behaviour,locomotor activity,locomotor activity
Behaviour,ma threshold inducing clonic seizure,ma threshold inducing clonic seizure
Behaviour,total number of acquired events in panel a,number events
Behaviour,total number of acquired events in panel b,number events
Behaviour,percent time in dark,percent time
Behaviour,percent time in light,percent time
Behaviour,percentage center time,percentage center time
Behaviour,percentage of live gated events in panel a,percentage of live gated events
Behaviour,percentage of live gated events in panel b,percentage of live gated events
Behaviour,periphery average speed,periphery average speed
Behaviour,periphery distance travelled,periphery distance travelled
Behaviour,periphery permanence time,periphery time
Behaviour,periphery resting time,periphery time
Behaviour,% pre-pulse inhibition - global,pre-pulse inhibition
Behaviour,% pre-pulse inhibition - ppi1,pre-pulse inhibition
Behaviour,% pre-pulse inhibition - ppi2,pre-pulse inhibition
Behaviour,% pre-pulse inhibition - ppi3,pre-pulse inhibition
Behaviour,% pre-pulse inhibition - ppi4,pre-pulse inhibition
Hearing,response amplitude - bn,response amplitude
Hearing,response amplitude - pp1,response amplitude
Hearing,response amplitude - pp1_s,response amplitude
Hearing,response amplitude - pp2,response amplitude
Hearing,response amplitude - pp2_s,response amplitude
Hearing,response amplitude - pp3,response amplitude
Hearing,response amplitude - pp3_s,response amplitude
Hearing,response amplitude - pp4,response amplitude
Hearing,response amplitude - pp4_s,response amplitude
Hearing,response amplitude - s,response amplitude
Eye,rod a-wave implicit time-left,rod a-wave implicit time
Eye,rod a-wave implicit time-right,rod a-wave implicit time
Eye,rod b-wave amplitude-left,rod b-wave amplitude
Eye,rod b-wave amplitude-right,rod b-wave amplitude
Eye,rod b-wave implicit time-left,rod b-wave implicit time
Eye,rod b-wave implicit time-right,rod b-wave implicit time
Behaviour,shock intensity flinch,shock intensity flinch
Behaviour,shock intensity jump,shock intensity jump
Behaviour,shock intensity vocalization,shock intensity vocalization
Behaviour,side changes,side changes
Behaviour,time immobile,time mobile
Behaviour,time mobile dark side,time mobile
Behaviour,time mobile light side,time mobile
Behaviour,whole arena average speed,whole arena average speed
Behaviour,whole arena permanence,whole arena
Behaviour,whole arena resting time,whole arena
Eye,right anterior chamber depth,anterior chamber depth
Eye,left corneal thickness,corneal thickness
Eye,right corneal thickness,corneal thickness
Eye,eye size-left,eye size
Eye,eye size-right,eye size
Eye,left inner nuclear layer,inner nuclear layer
Eye,right inner nuclear layer,inner nuclear layer
Eye,interpupillary distance,interpupillary distance
Eye,left anterior chamber depth,left anterior chamber depth
Eye,time spent,light side time spent
Eye,left outer nuclear layer,outer nuclear layer
Eye,right outer nuclear layer,outer nuclear layer
Eye,left posterior chamber depth,posterior chamber depth
Eye,right posterior chamber depth,posterior chamber depth
Eye,left total retinal thickness,total retinal thickness
Eye,right total retinal thickness,total retinal thickness
