"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"1","latency to immobility",586,585,0.683759808,0.977118884,-0.588767653,0.284067476,0.676054222,0.977141252,-1.390783074,0.271091106,0.007705586,0.039647728,0.845934711,0.802015421,0.381867517,0.035921646,1.380995459,0.670820362,0.685809033,"Behaviour","latency to immobility",-0.0220992906609081,0.0017108652382625,-0.0254525249103041,-0.018746056411512,-0.534281864470648,0.593248126846339,"A"
"2","periphery permanence time",9518,9499,0.022097333,0.178094822,-0.362396875,0.100483708,0.0186642,0.178106726,0.206265878,0.09137527,0.003433133,0.012680957,0.78660058,-0.568662753,0.122864669,3.71e-06,0.663975972,0.872506575,0.875768201,"Behaviour","periphery time",-0.00373136042264883,0.000105180225971487,-0.00393750987743873,-0.00352521096785893,-0.36383137777016,0.715987975133144,"A"
"3","whole arena resting time",9515,9495,-0.238742375,0.23370865,-0.397806633,0.056201701,-0.241204101,0.233715555,-0.172581739,0.052653198,0.002461727,0.007199002,0.732389372,-0.225224894,0.069645578,0.001223328,0.873877578,0.485968452,0.506136683,"Behaviour","whole arena",-0.0406631598132671,0.000105218971706858,-0.0408693852083029,-0.0404569344182313,-3.96418666934314,7.39159712264126e-05,"A"
"4","pq",4059,4044,-0.317385601,0.204013899,-0.006752558,0.165690586,-0.294669487,0.204038019,0.681801447,0.144379933,-0.022716114,0.021932968,0.300370102,-0.688554005,0.21917422,0.00168643,0.470601356,1.007605487,0.966203877,"Heart","pq",0.0419566682018669,0.000246883947295504,0.0414727845568067,0.0424405518469272,2.67026625288291,0.00759424302594858,"A"
"5","qtc",5322,5267,0.85600306,0.518466622,-0.011822017,0.048389328,0.8514668,0.518466896,0.133156624,0.044286444,0.00453626,0.006358926,0.475633236,-0.144978642,0.063991419,0.02349632,1.639157192,0.327586798,0.326702444,"Heart","qtc",0.00270227114493373,0.000188916027066865,0.00233200253578028,0.00307253975408718,0.196604983468409,0.844140444240248,"A"
"6","hemoglobin",10123,10015,-0.167636812,0.107832367,0.049117253,0.065654472,-0.149079077,0.107971216,0.301102983,0.080905178,-0.018557735,0.0105898,0.079717542,-0.251985731,0.093754532,0.007200141,0.706603279,0.633923335,0.85102674,"Hematology","hemoglobin",-0.294516058269367,9.93274501649084e-05,-0.294710736494366,-0.294321380044367,-29.5511465683201,0,"A"
"7","dn cd25+ nkt cells",541,534,-0.168606354,0.301477433,-1.220854573,0.43852261,-0.186299803,0.301547949,0.281015138,0.40942007,0.017693449,0.052187596,0.734649619,-1.501869711,0.581994061,0.009996607,0.596762112,0.846269169,0.863707205,"Immunology","dn nkt",-0.0204085129777539,0.00186401222986589,-0.0240619098150333,-0.0167551161404746,-0.472701503028688,0.636522286654054,"A"
"8","klrg1+ t-regs",110,105,0.07007332,0.166221704,-2.660609109,1.568087716,0.025200696,0.170318051,1.477778406,1.27167717,0.044872623,0.13529815,0.740478776,-4.138387515,2.008211866,0.040560819,0.192210062,0.975093895,1.003921369,"Immunology","klrg1",-0.0293557468748313,0.00939484827099506,-0.0477693111262,-0.0109421826234626,-0.302864415011221,0.762288767338291,"A"
"9","total food intake",2605,4009,0.244998208,0.226473298,0.261051488,0.139637022,0.263451966,0.226490053,-0.104259406,0.133593538,-0.018453759,0.018885927,0.3285471,0.365310894,0.177456782,0.039572626,0.782505713,0.550241393,0.783052117,"Metabolism","total food intake",-0.352774914346752,0.000316762787788478,-0.35339575800246,-0.352154070691044,-19.821230723796,0,"A"
"10","number of center entries",6602,6628,0.029874245,0.324094574,-0.250787311,0.079115767,0.022261968,0.324091899,0.130233265,0.071899573,0.007612277,0.008884196,0.391552404,-0.381020576,0.099418297,0.000127435,1.024479283,0.518509118,0.503018072,"Morphology","number of center entries",0.0303318121515386,0.000151195020156326,0.0300354753573904,0.0306281489456868,2.46677543015586,0.0136461605783671,"A"
