parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
% pre-pulse inhibition - global,8561,8541,0.058420051,0.09786005,-0.359798216,0.109305088,0.080247695,0.097826823,-0.361724352,0.094782732,-0.021827644,0.013143193,0.096780714,0.001926137,0.133193079,0.988462173,0.461936895,0.874282094,0.843651364,Behaviour,pre-pulse inhibition,0.03566361537114669,1.1695922432095252e-4,0.035434379503817885,0.0358928512384755,3.2976770943376805,9.768704769586023e-4
% pre-pulse inhibition - ppi1,6562,6503,-0.056284153,0.096656095,-0.196947933,0.120726888,-0.04519593,0.096636095,-0.292693746,0.107347806,-0.011088223,0.014721173,0.451333728,0.095745812,0.148534016,0.519194347,0.453692553,0.841529097,0.840033653,Behaviour,pre-pulse inhibition,0.0017779449226586837,1.53107310702378e-4,0.001477860107912239,0.0020780297374051286,0.14368794681094488,0.8857491058621298
% pre-pulse inhibition - ppi2,8483,8492,-0.017719139,0.076371367,-0.197038092,0.115591475,-0.028616893,0.076394996,-0.246815063,0.104534677,0.010897754,0.014177344,0.442097677,0.049776971,0.143687726,0.729027899,0.353810988,0.915327834,0.931164374,Behaviour,pre-pulse inhibition,-0.01715346597162465,1.178342404017336e-4,-0.01738441683895768,-0.016922515104291616,-1.5802148256503066,0.11407631166005006
% pre-pulse inhibition - ppi3,8690,8688,0.032866245,0.092838275,-0.296921946,0.112568076,0.066857,0.092810126,-0.331616304,0.098380622,-0.033990755,0.013631142,0.012654368,0.034694357,0.137709253,0.801091052,0.436163537,0.910046954,0.886106225,Behaviour,pre-pulse inhibition,0.02665934653862576,1.1510129065933552e-4,0.026433752154359384,0.026884940922892134,2.484902787341911,0.012968020152348547
% pre-pulse inhibition - ppi4,4268,4328,0.066978146,0.116453019,-0.172011044,0.159234747,0.12758784,0.116540743,-0.164623947,0.150476679,-0.060609694,0.018360481,9.67017e-4,-0.007387097,0.194138613,0.9696482,0.459393845,0.82406962,0.876977522,Behaviour,pre-pulse inhibition,-0.06222472000919089,2.327318467128509e-4,-0.06268086604680358,-0.06176857397157821,-4.078824725438293,4.567265008770249e-5
average duration,664,643,-0.067191033,0.210409748,-1.296732323,0.40880878,-0.279626224,0.211909244,-0.660926336,0.417511946,0.212435191,0.054714604,1.08526e-4,-0.635805987,0.582961388,0.275629359,0.285043478,0.918510687,1.051547637,Behaviour,average duration,-0.1352894264922163,0.0015329640123482894,-0.13829398074601498,-0.13228487223841764,-3.4553963963842187,5.67117463968092e-4
center average speed,8808,8816,0.247617469,0.25053293,-0.033781179,0.037851626,0.147855415,0.250534598,0.05202535,0.034672354,0.099762054,0.004779142,1.31e-95,-0.08580653,0.045830368,0.061186709,0.937178499,0.314584556,0.319688525,Behaviour,center average speed,-0.01609421236281393,1.1349451890773473e-4,-0.016316657532315787,-0.01587176719331207,-1.5107141026420259,0.13087923812071978
center distance travelled,9152,9155,0.107774463,0.259104116,-0.123547705,0.065786436,0.059497754,0.259097887,0.072127861,0.056351069,0.048276709,0.008093528,2.49e-9,-0.195675566,0.078606751,0.012808409,0.968800869,0.566268017,0.527857116,Behaviour,center distance travelled,0.0702418788517283,1.0925976802620237e-4,0.07002773364143774,0.07045602406201887,6.719949086430237,1.8714141347686564e-11
center permanence time,9505,9491,-0.126855875,0.197545282,-1.17246e-4,0.104838442,-0.065057787,0.197504968,-0.123582462,0.08614605,-0.061798088,0.012629957,1e-6,0.123465216,0.123036296,0.31563916,0.736912079,0.921648543,0.815474629,Behaviour,center time,0.12239357286689052,1.0529646659783646e-4,0.12218719558465944,0.1225999501491216,11.927562852527586,0
center resting time,6467,6509,0.014547749,0.24609282,-0.317098973,0.122076463,0.060105457,0.246066313,-0.350880704,0.106302928,-0.045557708,0.013301239,6.1654e-4,0.03378173,0.150031703,0.821855284,0.777018717,0.787019158,0.726472971,Behaviour,center time,0.08005181232332303,1.5415607828837943e-4,0.07974967196187988,0.0803539526847662,6.447492443716097,1.177440367428062e-10
conditioning baseline freeze count,222,268,-0.195084749,0.330252504,-1.372857608,0.85828908,-0.106247311,0.330493476,-1.685858811,0.830439588,-0.088837438,0.086248175,0.303513492,0.313001202,1.195134005,0.793512564,0.458172308,0.913654057,0.987220137,Behaviour,conditioning freeze count,-0.07705126040384294,0.00413510261494399,-0.08515591260151056,-0.06894660820617532,-1.1982201030335267,0.23141293736391066
conditioning baseline freezing time,222,268,-0.295981099,0.587270647,-1.351059837,0.752568759,-0.246441362,0.587578314,-1.273999638,0.757128077,-0.049539738,0.077120804,0.520939467,-0.077060199,1.068301475,0.942525496,0.826699598,0.801079267,0.900082628,Behaviour,conditioning freezing time,-0.11613688151406346,0.00413510261494399,-0.12424153371173108,-0.10803222931639583,-1.8060385437488977,0.07152831900191536
conditioning post-shock freeze count,287,326,-0.060079102,0.354893427,-2.135027848,0.784966043,-0.154875145,0.354401723,-1.635241929,0.689659461,0.094796042,0.076505657,0.21579682,-0.499785919,1.044817375,0.632574752,0.495445574,0.95434946,0.912929909,Behaviour,conditioning freeze count,0.044580597196430184,0.003286713286713287,0.03813875752696287,0.0510224368658975,0.7776156128503053,0.4370966368414253
conditioning post-shock freezing time,287,326,-0.094410259,0.557967738,-1.8755456,0.70961964,-0.237777637,0.557769548,-1.278989673,0.632178519,0.143367378,0.06960298,0.039843933,-0.596555928,0.95030374,0.530401523,0.785746524,0.862744412,0.83684674,Behaviour,conditioning freezing time,0.030687327812402555,0.003286713286713287,0.024245488142935246,0.03712916748186987,0.5352764817939781,0.5926534478878165
conditioning tone freeze count,242,248,0.089053969,0.141096545,-1.428025836,0.852383413,-0.032059577,0.143459046,0.018767167,0.871953559,0.121113546,0.090068616,0.179356823,-1.446793003,1.219256318,0.235958769,0.179556405,0.955091191,1.022002102,Behaviour,conditioning tone freeze count,-0.06766160633413708,0.004098980294656206,-0.07569546008500262,-0.059627752583271534,-1.0568281889756812,0.2911128880976832
conditioning tone freezing time,242,248,0.075904675,0.080043656,-1.962623709,0.88009093,-0.090253544,0.081053834,0.186463689,0.853967219,0.166158218,0.09022367,0.066140355,-2.149087399,1.226236082,0.080304505,0.068954074,0.98614082,1.001311895,Behaviour,conditioning tone freezing time,-0.015216753023545155,0.004098980294656206,-0.023250606774410695,-0.0071828992726796145,-0.23767531412936477,0.8122326847226007
context freeze count,291,333,-0.114097745,0.384354916,-1.528745976,0.744688461,-0.113388596,0.384252917,-1.507492334,0.699165187,-7.0915e-4,0.075056738,0.992464598,-0.021253642,1.02146941,0.983406375,0.538091234,0.921961373,0.929931465,Behaviour,context freeze count,-0.008389448163706435,0.003230162027420025,-0.014720449401678565,-0.0020584469257343046,-0.14761185613771724,0.8826969334492725
context freezing time,291,333,-0.196558594,0.701721407,-1.381067057,0.599799331,-0.222971787,0.701661127,-0.644178432,0.557511457,0.026413193,0.060174509,0.660855842,-0.736888625,0.818891153,0.368543893,0.990448659,0.742581421,0.741503016,Behaviour,context freezing time,0.0016714074113739169,0.003230162027420025,-0.0046595938265982136,0.008002408649346046,0.029408316916787646,0.9765483729548297
cue baseline freeze count,281,319,0.025363805,0.462654886,-1.865897508,0.730069088,0.209641181,0.462747914,-1.140972837,0.695795478,-0.184277376,0.074201659,0.013285334,-0.724924671,1.008147293,0.472382418,0.650023507,0.880875541,0.915764208,Behaviour,cue baseline freeze count,-0.0386291836393384,0.003358041329739443,-0.0452108237042247,-0.0320475435744521,-0.6666110550161649,0.505277706463183
cue baseline freezing time,281,319,-0.049511259,0.14260772,-1.901619075,0.775356585,0.107814027,0.144144884,-1.390551374,0.781571903,-0.157325286,0.080983741,0.052526539,-0.511067701,1.100543566,0.642547153,0.185459066,0.935521406,1.028869228,Behaviour,cue baseline freezing time,-0.09489822669074365,0.003358041329739443,-0.10147986675562995,-0.08831658662585734,-1.637627333885932,0.10202551450997199
