parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,g_slope_sd,batch_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
% pre-pulse inhibition - global,8561,8541,0.0564239355567588,0.0994491777350497,-0.2423729038302,0.145061978546757,0.0748456121011346,0.0994186074153425,-0.244037802381194,0.135331818178321,-0.0184216765554366,0.013365122636149,0.168119795151875,0.00166489883657027,0.133133526899327,0.990022501930265,0.4652304,0.3458811,0.1953208,0.850588,0.821053826835035,Behaviour,pre-pulse inhibition,0.035339068342146104,1.169865896799653e-4,0.03510977883969921,0.035568357844593,3.267285274381017,0.001087982486633443
% pre-pulse inhibition - ppi1,6562,6503,-0.0588789664887616,0.0980895554156498,-0.161382712798761,0.122309539762993,-0.0494743862812957,0.0980716263887195,-0.25833761337015,0.109107548343972,-0.0094045801879371,0.0148131903308584,0.525521264605846,0.0969549003629383,0.148618107165997,0.514172814097022,0.45864636,0.01377493,0.1483939,0.8287429,0.827371254740514,Behaviour,pre-pulse inhibition,0.0016557706483737353,1.5315420971771026e-4,0.0013555939132463288,0.001955947383501142,0.1337937142339482,0.8935677588636017
% pre-pulse inhibition - ppi2,8483,8492,-0.0221995802351182,0.0778860786198142,-0.109047124450902,0.137635618643904,-0.0337072975204293,0.0779133625533847,-0.146398005356335,0.129208215872752,0.0115077172369581,0.014399014696675,0.424186690183363,0.037350880979619,0.143695224938417,0.794920527665102,0.3560219,0.2572414,0.2075793,0.8912148,0.908262114180249,Behaviour,pre-pulse inhibition,-0.018947470579306683,1.178620167719824e-4,-0.019178475887325026,-0.01871646527128834,-1.7452767665108009,0.08095480014161183
% pre-pulse inhibition - ppi3,8690,8688,0.0322093477824274,0.0934961160561671,-0.217171609453929,0.16108243418169,0.0632190114653867,0.093463384806654,-0.26084532920543,0.152264047758434,-0.0310096636933229,0.0138664154717215,0.0253460817110324,0.0436737198009596,0.13765657658669,0.751046439566757,0.434865,0.431201,0.2008149,0.8870817,0.861247759370212,Behaviour,pre-pulse inhibition,0.029554852321048885,1.1512779337490314e-4,0.029329205992414505,0.029780498649683265,2.754474164346512,0.005884768128142426
% pre-pulse inhibition - ppi4,4268,4328,0.0612944273923502,0.117940667569064,-0.191264025973358,0.174164721129697,0.117599639316834,0.118031175199962,-0.193954252323667,0.167402190794833,-0.0563052097833144,0.018864487064087,0.00284760204855494,0.00269022504065018,0.194258334745604,0.988951061768705,0.4619124,0.2482975,0.2048268,0.7993021,0.85443320676102,Behaviour,pre-pulse inhibition,-0.06669773475651637,2.3284023067175356e-4,-0.06715409322278501,-0.06624137629024773,-4.371012755675531,1.2512614925741516e-5
average duration,664,643,-0.0816590792054077,0.225507497724,-0.556601242816091,0.518098260509045,-0.291507274541585,0.226618295560986,-0.419857272737444,0.510768771936727,0.209848195296415,0.051394013666568,4.7367224486918e-5,-0.136743965505466,0.561292968919136,0.807564194098431,0.2970454,0.3498296,0.3530233,0.86904679983415,0.9740378,Behaviour,average duration,-0.11407795364217337,0.0015376796520423601,-0.11709175037993648,-0.11106415690441025,-2.9091679100482635,0.0036853211161975707
center average speed,8808,8816,0.252490146876088,0.244907607375215,0.0403447858993159,0.110576058793889,0.152087765111464,0.244909462620813,0.116591255019389,0.109869214905755,0.100402381560192,0.00491396014236856,1.39782601718188e-91,-0.0762464769478398,0.0455690362736095,0.0943065679439355,0.91601021,0.35606648,0.09388888,0.29959786,0.305794201822834,Behaviour,center average speed,-0.02047117232338728,1.1352028677371389e-4,-0.02069366799697842,-0.020248676649796144,-1.9213477421558165,0.05470399370779222
center distance travelled,9152,9155,0.127466593893504,0.256649963252987,-0.120858039240652,0.133757271160651,0.0631431574133888,0.256642955587916,-0.0476937723381,0.130199874110371,0.0643234365800764,0.00823532827481461,6.03891545623157e-15,-0.0731642664254527,0.076743590505232,0.340422096931914,0.9591311,0.371662,0.2152565,0.5263522,0.486138451874835,Behaviour,center distance travelled,0.07947712460061741,1.0928364863904267e-4,0.07926293258518576,0.07969131661604907,7.6026422227237935,3.042011087472929e-14
center permanence time,9505,9491,-0.111430199820718,0.188630905230899,-0.155079423465546,0.160409305175855,-0.0756109429560654,0.188595353987742,-0.214276966514835,0.151381979091086,-0.0358192568119711,0.0124724744611412,0.00408573203237515,0.059197541596592,0.115305220052784,0.607679322032102,0.7012538,0.3984194,0.4311629,0.807144,0.714381159010296,Behaviour,center time,0.12208535732066418,1.0531864597246413e-4,0.12187893656765762,0.12229177807367074,11.896273634826763,0
center resting time,6467,6509,0.0239060276248962,0.242334642344565,-0.159392283479466,0.16745675482598,0.0413212432175999,0.242303434762281,-0.283677889148337,0.15782920061789,-0.0174152154950088,0.0138617216112975,0.209013517647014,0.124285605213252,0.147856532069317,0.400599360929603,0.7638406,0.3289385,0.3174212,0.723692985893985,0.6663582,Behaviour,center time,0.08254038537071828,1.5420362163790925e-4,0.08223815182602234,0.08284261891541422,6.646900923283736,3.112976543206969e-11
conditioning baseline freeze count,222,268,-0.203058233230193,0.277681446963653,-0.986052139982666,0.888004836408749,-0.136938918118766,0.276373828404259,-1.27588157342525,0.842244353328169,-0.0661193151131721,0.0900515447217179,0.463250293832164,0.289829433477595,1.20542531814058,0.810119096401316,0.37421272,0.02181981,0.47638001,0.818952310490788,0.84985894,Behaviour,conditioning freeze count,-0.03664821699275025,0.004169897475661238,-0.04482106586427076,-0.028475368121229735,-0.5675317485591592,0.5706139525854919
