parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group
activity onset with respect to dark onset median,Sleep Wake,273,259,0.39296319429460774,0.04505938954594752,-0.008363088171144065,0.04481208450524735,0.25426908699757905,0.03767822723090511,-0.017936693157988397,0.03368471852071303,0.1386941072969987,0.0556845286054924,0.013090705551133529,0.009573604986781545,0.05478461460579902,0.8613509439553305,0.3593388,0.29697578250224704,0.22417754310817112,0.3920506290449358,Behaviour,activity onset with respect to dark onset median
average duration,Rotarod,621,612,4.096354114166518,0.05991422708347287,-0.058949905844684077,0.056366251586144445,4.05538480242207,0.06050885649975932,-0.05092101062625213,0.05646713964030669,0.04096931174434041,0.05078815392731226,0.4200245264619501,-0.008028895218614858,0.04732019785924779,0.8652984876364038,0.5134660426082005,0.57158718,0.11984981751638624,0.40127842141207865,Behaviour,average duration
breath rate during sleep mean,Sleep Wake,864,842,0.9671174741148856,0.005670474698144511,0.029846296773118938,0.004744655054831498,1.0100183870007624,0.0051139161845071696,0.03057425199541736,0.0037669382729129284,-0.04290091288594954,0.006058711668321874,2.170181860230271e-12,-7.279552223904451e-4,0.005438361465564005,0.8935342375726238,0.0748341,0.06494902414240208,0.5035914271030307,0.6860982674801701,Behaviour,breath rate during sleep mean
breath rate during sleep standard deviation,Sleep Wake,864,842,-0.2493340786327687,0.007005953167764888,6.745035005181981e-4,0.0065397711612591525,-0.22092015213659172,0.006461695351336654,0.007641563454296358,0.0055387951355893375,-0.02841392649620882,0.008562430226143336,9.263319734946587e-4,-0.006967059953814058,0.007919723306042972,0.3791536697976393,0.1057847,0.10106710102462917,0.1568209559443568,0.4112851372952689,Behaviour,breath rate during sleep standard deviation
center average speed,Open Field,8692,8660,2.3395899740436223,0.24047537953446396,0.012515535768577222,0.011400254724690553,2.2539660707899225,0.24047283527995084,0.011317191790528872,0.011007841098817871,0.08562390323923195,0.007094061023447506,2.1646039703671404e-33,0.0011983439396365332,0.0064984751312663035,0.8536990872805285,0.2614795104,0.26317933825641726,0.04132009755334995,0.95283318586126875,Behaviour,center average speed
center distance travelled,Open Field,9025,8992,7.248388045681509,0.2945855741119747,-0.012299020386121143,0.027679015998028703,7.199667991396706,0.29457087026547496,0.0012373207154286721,0.026699675050409027,0.04872005437497642,0.015066090168152507,0.0012242597643110078,-0.01353634111293809,0.013622606608201606,0.3204000680675069,0.56657921,0.5335339304436827,0.0245238352429572,0.8852912098693428,Behaviour,center distance travelled
center permanence time,Open Field,9381,9328,5.077336527732605,0.14998477125200535,-0.04205927707598031,0.02608848220979695,5.132720871566527,0.14996338627472297,-0.03173055154511488,0.02472369268217594,-0.05538434262034487,0.016662248356668425,8.89499573541799e-4,-0.010328725911146383,0.015053162505358462,0.49262832818371716,0.6482511,0.5852828990484293,0.029368950862519217,0.7140144985086508,Behaviour,center time
center resting time,Open Field,6471,6443,3.2498506639229108,0.32796261587517,-0.01785433107033223,0.04821802641261107,3.3168406009291704,0.3277007213981712,-0.03812924193754727,0.046494070794933874,-0.066989936889091925,0.03369478195965834,0.04682000931747084,0.020274910917405835,0.031385804129362066,0.518298877986236,1.0453107179531826,0.94851905,0.015258939366952827,0.7500625018211557,Behaviour,center time
conditioning baseline % freezing time,Fear Conditioning,168,238,1.8021540432417467,0.23472231986520187,-0.16163759379616335,0.1852963614039098,2.069857840721961,0.1653381024248411,-0.1460973926828732,0.15601323149585034,-0.26770379748027384,0.25328557076751984,0.29131901628237855,-0.015540201113551668,0.23671374587651162,0.9476964226684088,0.9855756377451097,0.9794872,0.058604176495195004,0.6517738274235826,Behaviour,conditioning baseline freezing time
conditioning baseline average motion index,Fear Conditioning,168,238,4.654333612114657,0.12476855345840668,0.11916574193393753,0.08701167187685281,4.45627560202884,0.10134021500989181,0.00460731494161831,0.08269921722251707,0.19805801007900534,0.12340177275422201,0.10945359905090746,0.11455842698295947,0.11697542493014988,0.32813062411545524,0.43718677620976154,0.5098784,0.06757196872704418,0.7970570144514956,Behaviour,conditioning baseline average motion index
conditioning baseline freeze count,Fear Conditioning,291,333,1.1929092787739095,0.3911517613886126,-0.1234196320361779,0.12358575186805773,1.533972950231326,0.3879388671450598,-0.18431337741456424,0.1268607349223597,-0.34106367145704075,0.1574600326069108,0.030766767703222488,0.06089374537774855,0.15329616101911328,0.6913628616070859,0.7766871761850882,0.85372494,0.08027024648325493,0.6742416939993664,Behaviour,conditioning baseline freeze count
conditioning baseline freezing time,Fear Conditioning,291,333,1.063693865527926,0.7763816777925286,-0.1456472003972071,0.16528055477346987,1.4295470603843075,0.7737159846465282,-0.20344670580999877,0.17253875696131393,-0.36585319485662915,0.21768053073627855,0.09342976797752453,0.057799505410231516,0.21163677620636753,0.7848803731509759,1.044914064940343,1.17093994,0.054917719873133715,0.7739505017186269,Behaviour,conditioning baseline freezing time
conditioning baseline maximum motion index,Fear Conditioning,168,238,6.953502827806831,0.07447045890185963,0.16747446162242582,0.058207203323983936,6.797958083132883,0.055278559957137624,0.019502978622080534,0.052634552685605594,0.1555447446738781,0.0813037726545872,0.056596489129738976,0.1479714830001707,0.07668696825967666,0.0545194142127762,0.30550102581538197,0.3349078,0.12780448975784614,0.6598783272628482,Behaviour,conditioning baseline maximum motion index
conditioning post-shock % freezing time,Fear Conditioning,168,238,3.0818653722043337,0.13962825853441535,-0.2259029028113291,0.11239995210064069,3.374722310908509,0.0969106561299085,-0.11395951314082467,0.0948784290257756,-0.29285693870428386,0.15375184720683666,0.057683400256796,-0.11194338967065807,0.14392861685772104,0.43726173795118406,0.6048890839089337,0.6061758,0.11037291805162648,0.6067091804476844,Behaviour,conditioning post-shock freezing time
conditioning post-shock average motion index,Fear Conditioning,168,238,4.192838775805018,0.17923972001396246,0.2909888965699543,0.14002712797156128,3.838633533185046,0.12061533964530935,0.1262876117433585,0.10707915145215419,0.35420524261994674,0.18658213783798225,0.058517266198239416,0.16470128482645666,0.1721487558623929,0.339399791173974,0.7496077972312715,0.6490194,0.1079649725335632,0.7026911198596391,Behaviour,conditioning post-shock average motion index
conditioning post-shock freeze count,Fear Conditioning,291,333,2.4912996618500274,0.23984011025290994,-0.220116979715051,0.0854728891387289,2.756887113762821,0.23522430671747244,-0.16755398634432744,0.08075863306465755,-0.26558745192634187,0.11506772308271233,0.021389095751718844,-0.05256299338424546,0.1121018741132905,0.6393495793854697,0.6259040955727748,0.62047315,0.1372843970239561,0.5597663797883417,Behaviour,conditioning post-shock freeze count
conditioning post-shock freezing time,Fear Conditioning,291,333,2.9607658948696796,0.5291496410702604,-0.2672918716187179,0.12299115883939882,3.2309523284199932,0.5252200494287002,-0.20894062467662283,0.1169762015015891,-0.27018643355423805,0.15649223007022237,0.0848542070036959,-0.058351246950139664,0.1519566725956446,0.7011374994878279,0.8335707958130592,0.82058899,0.11706104957222714,0.7214259700799522,Behaviour,conditioning post-shock freezing time
conditioning post-shock maximum motion index,Fear Conditioning,168,238,7.110411447073424,0.12317440793348881,0.11264140828786412,0.10419148023932627,7.083790532119948,0.07678009221477981,0.08576549586238537,0.08109967239562738,0.02662091294647189,0.13921513736671476,0.8484697363800826,0.02687591090354479,0.12995820078120204,0.836290263738334,0.5932629154184402,0.5469635,0.14387842623586844,0.43823330185270154,Behaviour,conditioning post-shock maximum motion index
conditioning shock average motion index,Fear Conditioning,168,238,6.578507404081981,0.07907560777809508,0.11748317414187054,0.06266590274270566,6.641314016495566,0.052488013737641226,0.05496245096619938,0.04812546967734731,-0.06280661241580067,0.08357821990185853,0.4529047974984526,0.0625207231728579,0.07721539305245284,0.41870038567682366,0.33754301944643195,0.2949573,0.27074972671756736,0.6968581113784427,Behaviour,conditioning shock average motion index
conditioning shock maximum motion index,Fear Conditioning,168,238,7.684212131304265,0.07941548002032295,0.05550184784469501,0.06595576497468686,7.845559300700081,0.052763769438806125,0.06618108242021187,0.0543783671892828,-0.16134716945701705,0.08958055285146405,0.07259351434805326,-0.010679234656086872,0.08390227968168462,0.8987948731013038,0.36551104793404504,0.359034,0.3076035332480655,0.5671884388235053,Behaviour,conditioning shock maximum motion index
conditioning shock minimum motion index,Fear Conditioning,168,238,2.8310036340670925,0.35793152213789625,0.6692219246030268,0.3035130242500428,2.3645407021713525,0.2376720979850674,0.0029774339985919477,0.25467260804239955,0.4664629318946942,0.4140572606942213,0.2607444652894318,0.6662444906045598,0.39037823735754995,0.08882524691981368,1.7290140009918427,1.758458,0.12332231604724553,0.41511568604662685,Behaviour,conditioning shock minimum motion index
conditioning tone % freezing time,Fear Conditioning,168,238,2.6521544400043,0.20827521299016685,-0.0068657749215241875,0.17392907165586785,2.600874635242133,0.13112333466925014,-0.09265233729857178,0.13486036735400747,0.0512798047618901,0.23229012415128586,0.825417717093085,0.08578656237705423,0.21612086028014096,0.6916698330780663,0.973993347526047,0.8838882,0.0701445056491395,0.48993807279147583,Behaviour,conditioning tone freezing time
conditioning tone average motion index,Fear Conditioning,168,238,4.338439390046192,0.20559533134974922,0.18055784512901146,0.16612481073662955,4.327262317406869,0.1281357731037218,-0.01863032066211796,0.11964583321529267,0.011177072639680263,0.2181662938378702,0.9591717330201976,0.1991881657909749,0.20033150913298686,0.32080886502114236,0.9109603120920177,0.7319176,0.09910566402540161,0.6238896436877422,Behaviour,conditioning tone average motion index
conditioning tone freeze count,Fear Conditioning,291,333,1.1864827505388904,0.19108452530151038,-0.0715428090312747,0.09007407509990865,1.2018581010525669,0.18520174909810902,-0.0636801909596874,0.087641502579929,-0.015375350515158348,0.12706197263999514,0.9037329215961909,-0.007862618064096095,0.12422572813960701,0.9495577536201099,0.6804015136204801,0.7035057352,0.07683747440971264,0.4772825248247371,Behaviour,conditioning tone freeze count
conditioning tone freezing time,Fear Conditioning,291,333,1.1182330683561683,0.2264972058977597,-0.12258823955105252,0.1555423001510127,1.1305937618290558,0.2090955158935865,-0.11597623093036041,0.1489973014991582,-0.012360693499360313,0.21799658159046106,0.9548051156384416,-0.006612008618241637,0.21247031408618533,0.9751861495213318,1.1543607679500592,1.163904222,0.0866773999459355,0.46966054297809856,Behaviour,conditioning tone freezing time
conditioning tone maximum motion index,Fear Conditioning,168,238,6.459345546886777,0.12727247772479233,0.12657001753761846,0.10409483242739621,6.490428902356533,0.08297761791034022,-0.06920599717411337,0.08208999247603514,-0.031083355470238886,0.13971556594409762,0.8240810102622302,0.19577601471198813,0.12985607008079939,0.1326037721184946,0.5705883587820711,0.523373,0.11204958225914118,0.5730043122763699,Behaviour,conditioning tone maximum motion index
context % freezing time,Fear Conditioning,168,238,3.672794962139,0.09270978303558522,-0.11887211538270258,0.07701293210683068,3.754187835091927,0.06259419818475863,0.01372145457475743,0.06479799687037797,-0.08139287420394409,0.10521262584055015,0.43971900950200515,-0.13259357117851267,0.0988039585458302,0.1805229957811643,0.4262883278753867,0.4303336,0.08231290863533525,0.49888174469969576,Behaviour,context % freezing time
context average motion index,Fear Conditioning,168,238,3.613245900490308,0.166123213841615,0.19715784412372547,0.13385349592895288,3.4325414940137233,0.11907926882868952,-0.005410249719407269,0.11840904631467213,0.18070440647682223,0.18570267625060788,0.33122400094033555,0.20256809384354957,0.17494356329066257,0.24773998902127797,0.7176000878101743,0.7674251,0.06852763869267894,0.5846226978258974,Behaviour,context average motion index
context freeze count,Fear Conditioning,291,333,3.4475235716136683,0.22343762180325266,-0.12188053005861013,0.06522600458818181,3.6401049399079426,0.22041803696179396,-0.10809209862355135,0.06103058282183178,-0.19258136829708516,0.09042497688136399,0.03366690165562478,-0.013788431436139045,0.08861112963671056,0.8764044952591268,0.5117613708375275,0.5093700123,0.09313942697911258,0.5561544526560744,Behaviour,context freeze count
context freezing time,Fear Conditioning,291,333,4.11794545915094,0.6446314330279079,-0.15183579710666467,0.08489664930994337,4.280490680601951,0.6428553354121757,-0.06063565436034535,0.07992792850042035,-0.16254522145949357,0.11807181939169493,0.16921433954631243,-0.09120014274953868,0.11537847466220041,0.4296327468960002,0.650049744877654,0.6477469016,0.05056525559234324,0.822011465563638,Behaviour,context freezing time
context maximum motion index,Fear Conditioning,168,238,6.777442735419221,0.08780679501917552,0.16983201789411936,0.07119273065727712,6.64075751453537,0.06614593164594519,-0.032810180974417444,0.067625158584234693,0.13668521971510797,0.10111530172365062,0.1773728388119971,0.2026421976145371,0.09624560191472348,0.036005753810360905,0.3812653713380207,0.4496842,0.10727335709281637,0.5536004909405812,Behaviour,context maximum motion index
cue baseline % freezing time,Fear Conditioning,168,238,1.988903977125224,0.20695013794200343,-0.3515990355014625,0.16512375618271957,2.758754921652383,0.14987152498513628,-0.3168468683319913,0.14682983775158065,-0.7698509445272522,0.22945139627375769,8.855449539650561e-4,-0.03475216716949659,0.21615834620086594,0.8723715072849572,0.8787548380753016,0.9444639,0.15925195592554722,0.6219507647327596,Behaviour,cue baseline % freezing time
cue baseline average motion index,Fear Conditioning,168,238,4.860336422520899,0.12359944902714322,0.23825540426680297,0.09599878265291723,4.354063460456118,0.09941627237342887,0.21234623055263666,0.09755020664512125,0.506272962073746,0.1396442872086364,3.339976627148832e-4,0.025909173725835708,0.13389220392666135,0.8466804185627269,0.4960039733353369,0.6381056,0.16360887806324945,0.6282879234966737,Behaviour,cue baseline average motion index
