parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd,Zr,VZr
activity onset with respect to dark onset median,Sleep Wake,273,259,0.39296319429460774,0.04505938954594752,-0.00836308817114406,0.04481208450524735,0.25426908699757905,0.03767822723090511,-0.01793669315798839,0.03368471852071303,0.1386941072969987,0.0556845286054924,0.01309070555113352,0.00957360498678154,0.05478461460579902,0.8613509439553305,0.3593388,0.29697578250224704,0.22417754310817112,0.3920506290449358,Behaviour,activity onset with respect to dark onset median,0.190513807813407,0.003804976851851852,0.18305619022176875,0.19797142540504523,3.088520212489827,0.002116988779823581,0.2280504013856297,0.001890359168241966
average duration,Rotarod,621,612,4.096354114166518,0.05991422708347287,-0.05894990584468407,0.05636625158614444,4.05538480242207,0.06050885649975932,-0.05092101062625213,0.05646713964030669,0.04096931174434041,0.05078815392731226,0.4200245264619501,-0.00802889521861485,0.04732019785924779,0.8652984876364038,0.5134660426082005,0.57158718,0.11984981751638624,0.40127842141207865,Behaviour,average duration,-0.10724507621712186,0.001630079551070512,-0.11043997342915528,-0.10405017900508844,-2.6562745576557694,0.008003036487496784,0.12042865448524116,8.130081300813008e-4
breath rate during sleep mean,Sleep Wake,864,842,0.9671174741148856,0.00567047469814451,0.02984629677311893,0.00474465505483149,1.0100183870007624,0.00511391618450716,0.03057425199541736,0.00376693827291292,-0.04290091288594954,0.00605871166832187,2.170181860230271e-12,-7.279552223904451e-4,0.005438361465564,0.8935342375726238,0.0748341,0.06494902414240208,0.5035914271030307,0.6860982674801701,Behaviour,breath rate during sleep mean,0.14165571773446328,0.0011766676495302327,0.13934949151961062,0.14396194394931594,4.1295925354666005,3.809956675571158e-5,0.5541062433863264,5.871990604815032e-4
breath rate during sleep standard deviation,Sleep Wake,864,842,-0.2493340786327687,0.00700595316776488,6.745035005181981e-4,0.00653977116125915,-0.22092015213659172,0.00646169535133665,0.00764156345429635,0.00553879513558933,-0.02841392649620882,0.00856243022614333,9.263319734946588e-4,-0.00696705995381405,0.00791972330604297,0.3791536697976393,0.1057847,0.10106710102462917,0.1568209559443568,0.4112851372952689,Behaviour,breath rate during sleep standard deviation,0.045606006198768693,0.0011766676495302327,0.04329977998391604,0.047912232413621345,1.3295207972043552,0.18385416488546347,0.1581258210401261,5.871990604815032e-4
center average speed,Open Field,8692,8660,2.3395899740436223,0.24047537953446396,0.01251553576857722,0.01140025472469055,2.2539660707899225,0.24047283527995084,0.01131719179052887,0.01100784109881787,0.08562390323923195,0.0070940610234475,2.1646039703671394e-33,0.00119834393963653,0.0064984751312663,0.8536990872805285,0.2614795104,0.26317933825641726,0.04132009755334995,0.95283318586126875,Behaviour,center average speed,-0.006479980687677188,1.1530074983508856e-4,-0.006705966004744424,-0.0062539953706099525,-0.6034727243540405,0.5462021443125193,0.04134363763530804,5.764020981036371e-5
center distance travelled,Open Field,9025,8992,7.248388045681509,0.2945855741119747,-0.01229902038612114,0.0276790159980287,7.199667991396706,0.29457087026547496,0.00123732071542867,0.02669967505040902,0.04872005437497642,0.0150660901681525,0.001224259764311,-0.01353634111293809,0.0136226066082016,0.3204000680675069,0.56657921,0.5335339304436827,0.0245238352429572,0.8852912098693428,Behaviour,center distance travelled,0.06009402228909049,1.1104362412060614e-4,0.0598763807851013,0.06031166379307968,5.702751665855425,1.1973619873373309e-8,0.02452875338048922,5.551237926057511e-5
center permanence time,Open Field,9381,9328,5.077336527732605,0.14998477125200535,-0.04205927707598031,0.02608848220979695,5.132720871566527,0.14996338627472297,-0.03173055154511488,0.02472369268217594,-0.05538434262034487,0.01666224835666842,8.89499573541799e-4,-0.01032872591114638,0.01505316250535846,0.4926283281837171,0.6482511,0.5852828990484293,0.02936895086251921,0.7140144985086508,Behaviour,center time,0.10218249980493689,1.0693557507531459e-4,0.1019729099291232,0.10239208968075059,9.881330343123821,0,0.029377399153820535,5.345878327809259e-5
center resting time,Open Field,6471,6443,3.2498506639229108,0.32796261587517,-0.01785433107033223,0.04821802641261107,3.3168406009291704,0.3277007213981712,-0.03812924193754727,0.04649407079493387,-0.066989936889091925,0.03369478195965834,0.04682000931747084,0.02027491091740583,0.03138580412936206,0.518298877986236,1.0453107179531826,0.94851905,0.01525893936695282,0.7500625018211557,Behaviour,center time,0.09716724833714126,1.549434002850152e-4,0.09686356485294045,0.09747093182134206,7.806086563343178,6.217248937900877e-15,0.015260123805313372,7.745333436604446e-5
conditioning baseline % freezing time,Fear Conditioning,168,238,1.8021540432417469,0.23472231986520187,-0.16163759379616335,0.1852963614039098,2.069857840721961,0.1653381024248411,-0.1460973926828732,0.15601323149585034,-0.26770379748027384,0.25328557076751984,0.29131901628237855,-0.01554020111355166,0.2367137458765116,0.9476964226684088,0.9855756377451096,0.9794872,0.058604176495195,0.6517738274235826,Behaviour,conditioning baseline freezing time,0.007099348325236243,0.0051579626047711154,-0.0030100726137195465,0.01720876926419203,0.0988506183866259,0.9213059055452537,0.05867140611598359,0.0024813895781637717
conditioning baseline average motion index,Fear Conditioning,168,238,4.654333612114657,0.12476855345840668,0.11916574193393752,0.08701167187685281,4.45627560202884,0.1013402150098918,0.00460731494161831,0.08269921722251707,0.19805801007900536,0.123401772754222,0.10945359905090746,0.11455842698295948,0.11697542493014988,0.32813062411545524,0.43718677620976154,0.5098784,0.06757196872704418,0.7970570144514956,Behaviour,conditioning baseline average motion index,-0.15290911316250969,0.0051579626047711154,-0.16301853410146547,-0.1427996922235539,-2.1290912490283618,0.033850943365066666,0.06767509528077979,0.0024813895781637717
conditioning baseline freeze count,Fear Conditioning,291,333,1.1929092787739095,0.3911517613886126,-0.1234196320361779,0.12358575186805772,1.533972950231326,0.3879388671450598,-0.18431337741456424,0.1268607349223597,-0.34106367145704075,0.1574600326069108,0.03076676770322248,0.06089374537774855,0.15329616101911328,0.6913628616070859,0.7766871761850882,0.85372494,0.08027024648325493,0.6742416939993664,Behaviour,conditioning baseline freeze count,-0.09435043335494668,0.0032512626262626264,-0.10072279100670253,-0.08797807570319083,-1.6546946904282962,0.0984909162182439,0.08044331816393238,0.001610305958132045
conditioning baseline freezing time,Fear Conditioning,291,333,1.063693865527926,0.7763816777925286,-0.1456472003972071,0.16528055477346987,1.4295470603843077,0.7737159846465282,-0.20344670580999877,0.17253875696131393,-0.3658531948566291,0.21768053073627855,0.09342976797752452,0.05779950541023151,0.21163677620636753,0.7848803731509759,1.044914064940343,1.17093994,0.05491771987313371,0.7739505017186269,Behaviour,conditioning baseline freezing time,-0.11365118667962934,0.0032512626262626264,-0.12002354433138519,-0.10727882902787349,-1.9931865543445129,0.046677413492485886,0.054973029803187905,0.001610305958132045
conditioning baseline maximum motion index,Fear Conditioning,168,238,6.953502827806831,0.07447045890185963,0.16747446162242582,0.05820720332398393,6.797958083132883,0.05527855995713762,0.01950297862208053,0.05263455268560559,0.1555447446738781,0.0813037726545872,0.05659648912973897,0.1479714830001707,0.07668696825967666,0.0545194142127762,0.30550102581538197,0.3349078,0.12780448975784614,0.6598783272628482,Behaviour,conditioning baseline maximum motion index,-0.09099949017708805,0.0051579626047711154,-0.10110891111604384,-0.08089006923813227,-1.2670678300002287,0.20586095714967323,0.12850724229079483,0.0024813895781637717
conditioning post-shock % freezing time,Fear Conditioning,168,238,3.0818653722043337,0.13962825853441535,-0.2259029028113291,0.11239995210064067,3.374722310908509,0.0969106561299085,-0.11395951314082468,0.0948784290257756,-0.29285693870428386,0.15375184720683666,0.057683400256796,-0.11194338967065807,0.14392861685772104,0.43726173795118406,0.6048890839089337,0.6061758,0.11037291805162648,0.6067091804476844,Behaviour,conditioning post-shock freezing time,-0.0012222907113207562,0.0051579626047711154,-0.011331711650276546,0.008887130227635032,-0.017019054021168198,0.9864298166654795,0.11082441711089608,0.0024813895781637717
conditioning post-shock average motion index,Fear Conditioning,168,238,4.192838775805018,0.17923972001396246,0.2909888965699543,0.14002712797156128,3.838633533185046,0.12061533964530936,0.1262876117433585,0.1070791514521542,0.35420524261994674,0.18658213783798225,0.05851726619823941,0.16470128482645666,0.1721487558623929,0.339399791173974,0.7496077972312715,0.6490194,0.1079649725335632,0.7026911198596391,Behaviour,conditioning post-shock average motion index,0.1449901677828816,0.0051579626047711154,0.13488074684392581,0.15509958872183738,2.0188286429573883,0.044165157438248226,0.1083874266507547,0.0024813895781637717
conditioning post-shock freeze count,Fear Conditioning,291,333,2.4912996618500274,0.2398401102529099,-0.220116979715051,0.0854728891387289,2.756887113762821,0.23522430671747244,-0.16755398634432744,0.08075863306465755,-0.26558745192634187,0.11506772308271232,0.02138909575171884,-0.05256299338424546,0.1121018741132905,0.6393495793854697,0.6259040955727748,0.62047315,0.1372843970239561,0.5597663797883417,Behaviour,conditioning post-shock freeze count,0.008935784845791713,0.0032512626262626264,0.002563427194035857,0.01530814249754757,0.15671359646559554,0.875521423460889,0.13815674982500098,0.001610305958132045
conditioning post-shock freezing time,Fear Conditioning,291,333,2.9607658948696796,0.5291496410702604,-0.2672918716187179,0.12299115883939882,3.2309523284199932,0.5252200494287002,-0.20894062467662283,0.1169762015015891,-0.27018643355423805,0.15649223007022237,0.0848542070036959,-0.05835124695013966,0.1519566725956446,0.7011374994878279,0.8335707958130592,0.82058899,0.11706104957222714,0.7214259700799522,Behaviour,conditioning post-shock freezing time,0.01591723326172072,0.0032512626262626264,0.009544875609964865,0.022289590913476577,0.2791525213815785,0.7802205692584878,0.11760019655955407,0.001610305958132045
conditioning post-shock maximum motion index,Fear Conditioning,168,238,7.110411447073424,0.1231744079334888,0.11264140828786412,0.10419148023932628,7.083790532119948,0.07678009221477981,0.08576549586238537,0.08109967239562738,0.02662091294647189,0.13921513736671476,0.8484697363800826,0.02687591090354479,0.12995820078120204,0.836290263738334,0.5932629154184402,0.5469635,0.14387842623586844,0.43823330185270154,Behaviour,conditioning post-shock maximum motion index,0.08215823656109444,0.0051579626047711154,0.07204881562213866,0.09226765750005023,1.1439630959858038,0.2533162896111323,0.14488375201864437,0.0024813895781637717
conditioning shock average motion index,Fear Conditioning,168,238,6.578507404081981,0.07907560777809508,0.11748317414187054,0.06266590274270566,6.641314016495566,0.05248801373764122,0.05496245096619938,0.04812546967734731,-0.06280661241580067,0.08357821990185853,0.4529047974984526,0.0625207231728579,0.07721539305245284,0.41870038567682366,0.33754301944643195,0.2949573,0.27074972671756736,0.6968581113784427,Behaviour,conditioning shock average motion index,0.13576501057147922,0.0051579626047711154,0.12565558963252343,0.145874431510435,1.890378473549674,0.05942280233636699,0.2776726788893519,0.0024813895781637717
