parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd,Zr,VZr,SMD,v_SMD,lnRR,v_lnRR
activity onset with respect to dark onset median,Sleep Wake,273,259,0.39296319429460774,0.04505938954594752,-0.00836308817114406,0.04481208450524735,0.25426908699757905,0.03767822723090511,-0.01793669315798839,0.03368471852071303,0.1386941072969987,0.0556845286054924,0.01309070555113352,0.00957360498678154,0.05478461460579902,0.8613509439553305,0.3593388,0.29697578250224704,0.22417754310817112,0.3920506290449358,Behaviour,activity onset with respect to dark onset median,0.190513807813407,0.00380497685185185,0.18305619022176875,0.19797142540504525,3.088520212489827,0.00211698877982358,0.2280504013856297,0.00189035916824196,0.47448332011297367,0.007735600025008869,-0.38509416914852596,0.005942199675756743
average duration,Rotarod,621,612,4.096354114166518,0.05991422708347287,-0.05894990584468407,0.05636625158614444,4.05538480242207,0.06050885649975932,-0.05092101062625213,0.05646713964030669,0.04096931174434041,0.05078815392731226,0.4200245264619501,-0.00802889521861485,0.04732019785924779,0.8652984876364038,0.5134660426082005,0.57158718,0.11984981751638624,0.40127842141207865,Behaviour,average duration,-0.10724507621712186,0.00163007955107051,-0.11043997342915528,-0.10405017900508844,-2.65627455765577,0.00800303648749678,0.12042865448524116,8.130081300813008e-4,0.20686640010624593,0.0032616463767041457,0.09357869613491819,6.678885752265168e-4
breath rate during sleep mean,Sleep Wake,864,842,0.9671174741148856,0.00567047469814451,0.02984629677311893,0.00474465505483149,1.0100183870007624,0.00511391618450716,0.03057425199541736,0.00376693827291292,-0.04290091288594954,0.00605871166832187,2.170181860230271e-12,-7.279552223904451e-4,0.005438361465564,0.8935342375726238,0.0748341,0.06494902414240208,0.5035914271030307,0.6860982674801701,Behaviour,breath rate during sleep mean,0.14165571773446328,0.00117666764953023,0.13934949151961062,0.14396194394931594,4.1295925354666005,3.809956675571158e-5,0.5541062433863264,5.871990604815032e-4,-1.0137809275859442,0.0026462726773967176,-0.08760421062037083,1.7553225700216464e-5
breath rate during sleep standard deviation,Sleep Wake,864,842,-0.2493340786327687,0.00700595316776488,6.745035005181981e-4,0.00653977116125915,-0.22092015213659172,0.00646169535133665,0.00764156345429635,0.00553879513558933,-0.02841392649620882,0.00856243022614333,9.263319734946588e-4,-0.00696705995381405,0.00791972330604297,0.3791536697976393,0.1057847,0.10106710102462917,0.1568209559443568,0.4112851372952689,Behaviour,breath rate during sleep standard deviation,0.04560600619876869,0.00117666764953023,0.04329977998391604,0.04791223241362134,1.3295207972043552,0.18385416488546347,0.1581258210401261,5.871990604815032e-4,-0.3085602917719966,0.002372960158206038,-0.033910804351018974,2.830684943585831e-5
center average speed,Open Field,8692,8660,2.3395899740436223,0.24047537953446396,0.01251553576857722,0.01140025472469055,2.2539660707899225,0.24047283527995084,0.01131719179052887,0.01100784109881787,0.08562390323923195,0.0070940610234475,2.1646039703671397e-33,0.00119834393963653,0.0064984751312663,0.8536990872805285,0.2614795104,0.26317933825641726,0.04132009755334995,0.95283318586126875,Behaviour,center average speed,-0.00647998068767718,1.1530074983508856e-4,-0.00670596600474442,-0.00625399537060995,-0.6034727243540405,0.5462021443125193,0.04134363763530804,5.764020981036371e-5,0.11811086369944025,2.309237374324552e-4,0.09150234876674561,1.3784694653775926e-4
center distance travelled,Open Field,9025,8992,7.248388045681509,0.2945855741119747,-0.01229902038612114,0.0276790159980287,7.199667991396706,0.29457087026547496,0.00123732071542867,0.02669967505040902,0.04872005437497642,0.0150660901681525,0.001224259764311,-0.01353634111293809,0.0136226066082016,0.3204000680675069,0.56657921,0.5335339304436827,0.0245238352429572,0.8852912098693428,Behaviour,center distance travelled,0.06009402228909049,1.1104362412060614e-4,0.0598763807851013,0.06031166379307968,5.702751665855425,1.1973619873373309e-8,0.02452875338048922,5.551237926057511e-5,0.030640588098232138,2.2203934295109254e-4,0.04052357352090679,3.879433266929677e-4
center permanence time,Open Field,9381,9328,5.077336527732605,0.14998477125200535,-0.04205927707598031,0.02608848220979695,5.132720871566527,0.14996338627472297,-0.03173055154511488,0.02472369268217594,-0.05538434262034487,0.01666224835666842,8.89499573541799e-4,-0.01032872591114638,0.01505316250535846,0.4926283281837171,0.6482511,0.5852828990484293,0.02936895086251921,0.7140144985086508,Behaviour,center time,0.10218249980493688,1.069355750753146e-4,0.1019729099291232,0.1023920896807506,9.88133034312382,0,0.02937739915382053,5.345878327809259e-5,-0.009161507656773607,2.138048034250343e-4,-0.00641158381902035,1.0471199000741576e-4
center resting time,Open Field,6471,6443,3.2498506639229108,0.32796261587517,-0.01785433107033223,0.04821802641261107,3.3168406009291704,0.3277007213981712,-0.03812924193754727,0.04649407079493387,-0.066989936889091925,0.03369478195965834,0.04682000931747084,0.02027491091740583,0.03138580412936206,0.518298877986236,1.0453107179531826,0.94851905,0.01525893936695282,0.7500625018211557,Behaviour,center time,0.09716724833714126,1.549434002850152e-4,0.09686356485294044,0.09747093182134206,7.806086563343178,6.217248937900877e-15,0.01526012380531337,7.745333436604446e-5,0.07349597779683827,3.099519617197196e-4,0.10145627838967643,5.794204847616153e-4
conditioning baseline % freezing time,Fear Conditioning,168,238,1.8021540432417469,0.23472231986520187,-0.16163759379616335,0.1852963614039098,2.069857840721961,0.1653381024248411,-0.1460973926828732,0.15601323149585034,-0.26770379748027384,0.25328557076751984,0.29131901628237855,-0.01554020111355166,0.2367137458765116,0.9476964226684088,0.9855756377451096,0.9794872,0.058604176495195,0.6517738274235826,Behaviour,conditioning baseline freezing time,0.00709934832523624,0.00515796260477111,-0.00301007261371954,0.01720876926419203,0.0988506183866259,0.9213059055452536,0.05867140611598359,0.00248138957816377,0.04015211822041081,0.010156047083513881,0.045899854742247045,0.012804912065309072
conditioning baseline average motion index,Fear Conditioning,168,238,4.654333612114657,0.12476855345840668,0.11916574193393752,0.08701167187685281,4.45627560202884,0.1013402150098918,0.00460731494161831,0.08269921722251707,0.19805801007900536,0.123401772754222,0.10945359905090746,0.11455842698295948,0.11697542493014988,0.32813062411545524,0.43718677620976154,0.5098784,0.06757196872704418,0.7970570144514956,Behaviour,conditioning baseline average motion index,-0.15290911316250969,0.00515796260477111,-0.16301853410146547,-0.1427996922235539,-2.1290912490283618,0.03385094336506666,0.06767509528077979,0.00248138957816377,-0.314688133456963,0.010276018054869843,-0.20239005404048446,0.0037801106911620466
